serializer,endpoint,field,type,required,bounds,normalised
OrderSerializer,api/^pos/orders/$,discount_reason,CharField,no,"maxlen=160,maxlength,prohibitnullcharacters",no
OrderSerializer,api/^pos/orders/$,loyalty_redeemed,IntegerField,no,"min=0,max=9223372036854775807,maxvalue,minvalue",no
OrderSerializer,api/^pos/orders/$,source_platform,CharField,no,"maxlen=20,maxlength,prohibitnullcharacters",no
OrderSerializer,api/^pos/orders/$,external_ref,CharField,no,"maxlen=64,maxlength,prohibitnullcharacters",no
OrderSerializer,api/^pos/orders/$,online_status,CharField,no,"maxlen=12,maxlength,prohibitnullcharacters",no
OrderSerializer,api/^pos/orders/$,prepaid,BooleanField,no,-,no
OrderSerializer,api/^pos/orders/$,brand,CharField,no,"maxlen=60,maxlength,prohibitnullcharacters",no
OrderSerializer,api/^pos/orders/$,token_no,IntegerField,no,"min=0,max=9223372036854775807,maxvalue,minvalue",no
OrderSerializer,api/^pos/orders/$,client_uuid,CharField,no,"maxlen=64,maxlength,prohibitnullcharacters",no
TableReservationSerializer,api/^pos/table-reservations/$,kind,CharField,no,"maxlen=12,maxlength,prohibitnullcharacters",no
TableReservationSerializer,api/^pos/table-reservations/$,table,PrimaryKeyRelatedField,no,choices,no
TableReservationSerializer,api/^pos/table-reservations/$,name,CharField,yes,"maxlen=80,maxlength,prohibitnullcharacters",no
TableReservationSerializer,api/^pos/table-reservations/$,mobile,CharField,no,"maxlen=15,maxlength,prohibitnullcharacters",no
TableReservationSerializer,api/^pos/table-reservations/$,party_size,IntegerField,no,"min=0,max=9223372036854775807,maxvalue,minvalue",no
TableReservationSerializer,api/^pos/table-reservations/$,reserved_for,DateTimeField,no,-,no
TableReservationSerializer,api/^pos/table-reservations/$,note,CharField,no,"maxlen=160,maxlength,prohibitnullcharacters",no
CustomerSerializer,api/^customers/$,name,CharField,yes,"maxlen=200,maxlength,prohibitnullcharacters",no
CustomerSerializer,api/^customers/$,mobile,CharField,yes,"maxlen=20,maxlength,prohibitnullcharacters",yes
CustomerSerializer,api/^customers/$,email,EmailField,no,"maxlen=254,maxlength,prohibitnullcharacters,email",yes
CustomerSerializer,api/^customers/$,address,CharField,no,"maxlen=300,maxlength,prohibitnullcharacters",no
CustomerSerializer,api/^customers/$,locality,CharField,no,"maxlen=120,maxlength,prohibitnullcharacters",no
CustomerSerializer,api/^customers/$,gstin,CharField,no,"maxlen=20,maxlength,prohibitnullcharacters",no
CustomerSerializer,api/^customers/$,customer_type,ChoiceField,no,choices,no
CustomerSerializer,api/^customers/$,btc_enabled,BooleanField,no,-,no
CustomerSerializer,api/^customers/$,date_of_birth,DateField,no,-,no
CustomerSerializer,api/^customers/$,anniversary_date,DateField,no,-,no
CustomerSerializer,api/^customers/$,marketing_consent,BooleanField,no,-,no
CustomerSerializer,api/^customers/$,tags,JSONField,no,-,no
LoyaltyTierSerializer,api/^crm/loyalty-tiers/$,name,CharField,yes,"maxlen=40,maxlength,prohibitnullcharacters",no
LoyaltyTierSerializer,api/^crm/loyalty-tiers/$,min_lifetime_points,IntegerField,no,"min=0,max=9223372036854775807,maxvalue,minvalue",no
LoyaltyTierSerializer,api/^crm/loyalty-tiers/$,earn_multiplier,DecimalField,no,"min=0,minvalue",no
LoyaltyTierSerializer,api/^crm/loyalty-tiers/$,active,BooleanField,no,-,no
LoyaltyRewardSerializer,api/^crm/loyalty-rewards/$,name,CharField,yes,"maxlen=80,maxlength,prohibitnullcharacters",no
LoyaltyRewardSerializer,api/^crm/loyalty-rewards/$,points_cost,IntegerField,yes,"min=0,max=9223372036854775807,maxvalue,minvalue",no
LoyaltyRewardSerializer,api/^crm/loyalty-rewards/$,kind,ChoiceField,no,choices,no
LoyaltyRewardSerializer,api/^crm/loyalty-rewards/$,value,DecimalField,yes,"min=0,minvalue",no
LoyaltyRewardSerializer,api/^crm/loyalty-rewards/$,active,BooleanField,no,-,no
IngredientCategorySerializer,api/^inventory-categories/$,name,CharField,yes,"maxlen=80,maxlength,prohibitnullcharacters",no
UomSerializer,api/^inventory-uoms/$,code,CharField,yes,"maxlen=12,maxlength,prohibitnullcharacters",no
UomSerializer,api/^inventory-uoms/$,name,CharField,yes,"maxlen=60,maxlength,prohibitnullcharacters",no
IngredientSerializer,api/^inventory/$,name,CharField,yes,"maxlen=120,maxlength,prohibitnullcharacters",no
IngredientSerializer,api/^inventory/$,location,PrimaryKeyRelatedField,no,choices,no
IngredientSerializer,api/^inventory/$,unit,CharField,no,"maxlen=12,maxlength,prohibitnullcharacters",yes
IngredientSerializer,api/^inventory/$,category,CharField,no,"maxlen=80,maxlength,prohibitnullcharacters",yes
IngredientSerializer,api/^inventory/$,min_stock_level,DecimalField,no,"min=0,minvalue",no
IngredientSerializer,api/^inventory/$,reorder_level,DecimalField,no,"min=0,minvalue",no
IngredientSerializer,api/^inventory/$,unit_cost,DecimalField,no,"min=0,minvalue",no
IngredientSerializer,api/^inventory/$,storage_location,CharField,no,"maxlen=80,maxlength,prohibitnullcharacters",no
IngredientSerializer,api/^inventory/$,expiry_date,DateField,no,-,no
DepartmentSerializer,api/^masters/departments/$,name,CharField,yes,"maxlen=80,maxlength,prohibitnullcharacters",no
DepartmentSerializer,api/^masters/departments/$,active,BooleanField,no,-,no
DesignationSerializer,api/^masters/designations/$,name,CharField,yes,"maxlen=80,maxlength,prohibitnullcharacters",no
DesignationSerializer,api/^masters/designations/$,active,BooleanField,no,-,no
PaymentMethodSerializer,api/^masters/payment-methods/$,name,CharField,yes,"maxlen=40,maxlength,prohibitnullcharacters",yes
PaymentMethodSerializer,api/^masters/payment-methods/$,active,BooleanField,no,-,no
PaymentMethodSerializer,api/^masters/payment-methods/$,counts_as_cash,BooleanField,no,-,no
PaymentMethodSerializer,api/^masters/payment-methods/$,captain_allowed,BooleanField,no,-,no
KitchenStationSerializer,api/^masters/kitchen-stations/$,name,CharField,yes,"maxlen=60,maxlength,prohibitnullcharacters",yes
KitchenStationSerializer,api/^masters/kitchen-stations/$,mode,ChoiceField,no,choices,no
KitchenStationSerializer,api/^masters/kitchen-stations/$,active,BooleanField,no,-,no
